control_number	control_name	category	question_id	question	guidance	auditor_focus	evidence_type	answer_type	what_good_looks_like	red_flags	nc_pattern	severity	primary_persona	related_controls	cps234_ref	cps230_ref
RQ4	Context of the Organisation and Scope	ISMS Requirements	1	Provide the documented internal and external issues affecting your ISMS.	Context documentation review. Look for: SWOT/PESTLE analysis; regulatory landscape mapping; competitive environment; technology changes; threat landscape assessment; climate change consideration. Document must be dated and show review within 12 months.	Is this organisation-specific or a generic template?	REGISTER; RECORD	Document	Organisation-specific context document with dated SWOT/PESTLE analysis and regulatory requirements mapped including APRA and Privacy Act and technology landscape documented and threat environment assessed and climate change relevance determination documented and review evidence within 12 months and version control applied	Generic template without customisation; No regulatory mapping; Document undated or stale over 12 months; Missing threat landscape; No version control; Climate change not considered	Context documentation is generic or template-based without organisation-specific analysis.	Critical	Auditor	RQ6; 5.1; 5.7	15; 17	
RQ4	Context of the Organisation and Scope	ISMS Requirements	2	Show me your interested parties register with their documented requirements.	Interested parties assessment. Look for: customers; regulators including APRA; shareholders; employees; suppliers; partners; climate-related stakeholders where relevant. Each party must have specific security requirements documented and not generic statements. Note: Interested parties may have climate change related requirements.	Are requirements traceable to controls?	REGISTER; MATRIX	Document	Complete stakeholder register with all relevant parties identified and specific security requirements per party and traceability to controls in SoA and regular review evidence and named owner for register	Generic requirements like expects security; Missing key stakeholders; No traceability to controls; No review evidence; Incomplete coverage	Interested parties register lacks specific and traceable security requirements.	Critical	Auditor	RQ6; 5.1; 5.31	15; 17	
RQ4	Context of the Organisation and Scope	ISMS Requirements	3	Present your ISMS scope document.	Scope boundary verification. Look for: physical and logical boundaries; business units; locations; systems; data types; cloud infrastructure including AWS and Azure and GCP; CI/CD pipelines; customer data processing activities; interfaces and dependencies with third parties. Scope must be available as documented information.	Does scope cover all information assets? Are cloud services explicitly included?	POLICY; REGISTER	Document	Clearly defined scope with physical and logical boundaries and all business units listed and cloud infrastructure explicitly included and data flows mapped and interfaces documented and dependencies identified and aligned with context document	Vague boundaries; Cloud services not explicitly included; Missing business units; No interface documentation; Scope disconnected from context	ISMS scope document lacks clear boundaries or excludes significant information processing activities.	Critical	Auditor	RQ6; 5.1; 5.9	15; 17	
RQ4	Context of the Organisation and Scope	ISMS Requirements	4	What is explicitly excluded from scope and what is the justification?	Exclusion justification review. Look for: documented risk-based justification for each exclusion; compensating controls where applicable. Red flag: Excluding critical systems without valid reasoning.	Is the exclusion justified by risk assessment?	REGISTER; RECORD	Document	Each exclusion documented with specific risk-based justification and compensating controls identified where needed and exclusions reviewed during risk assessment and no critical systems excluded without strong rationale and annual review of exclusions	Exclusions without justification; Critical systems excluded without compensating controls; Generic not applicable statements; No review of exclusions	Scope exclusions lack documented risk-based justification or compensating controls.	Critical	Auditor	RQ6; 5.1	15; 17	
RQ4	Context of the Organisation and Scope	ISMS Requirements	5	Provide evidence of context review within the last 12 months.	Context review verification. Look for: management review minutes discussing context changes; updated context document with version history; change log showing updates. Verify review was substantive and not just checkbox exercise.	Was review triggered by actual changes or just an annual checkbox?	RECORD; REPORT	Document	Management review minutes explicitly addressing context changes and version history showing updates and change log with rationale and evidence of substantive discussion and documented decisions on any changes needed	No review evidence; Review is checkbox exercise without substance; No version history; Context unchanged despite organisational changes	Context review not conducted within required intervals or lacks evidence of substantive management engagement.	Critical	Auditor	RQ5; RQ9; 5.1	15; 17	
RQ4	Context of the Organisation and Scope	ISMS Requirements	6	How does your scope address cloud infrastructure and CI/CD pipelines and customer data flows?	Cloud scope verification per Annex A 5.23. Look for: explicit coverage of cloud provider configurations; deployment pipelines; API endpoints; data processing locations; multi-tenant architecture; shared responsibility matrix per cloud provider. Verify cloud provider ISO 27001 certification status.	If cloud-based is scope detailed on shared responsibility?	POLICY; MATRIX	Document	Cloud infrastructure explicitly in scope with specific services listed and CI/CD pipeline security addressed and API endpoints documented and data processing locations mapped and multi-tenant considerations addressed and shared responsibility matrix referenced	Cloud services mentioned generically; No CI/CD coverage; Missing data flow documentation; Shared responsibility not addressed; Multi-tenancy ignored	Scope fails to adequately address cloud infrastructure and deployment pipelines or shared responsibility model.	High	Advisor	5.23; 8.25; 5.9; 5.22	15; 17	
RQ5	Leadership and Commitment	ISMS Requirements	1	Provide meeting attendance records showing C-suite participation in ISMS governance.	Executive engagement verification. Look for: CEO and CFO and COO names on attendance records; board meeting minutes discussing security; agenda items showing security as standing topic. Red flag: Delegation without attendance.	Did the CEO actually attend or did they delegate?	RECORD; REPORT	Document	C-suite attendance documented at security governance meetings and board minutes showing security discussions and security as standing agenda item and evidence of executive questions and decisions and consistent attendance pattern	Delegation without executive attendance; Security not on board agenda; No evidence of executive engagement; Only signature on policy; Sporadic attendance	Leadership involvement limited to policy signature with no evidence of governance meeting participation.	Critical	Auditor	5.1; 5.2; 5.4	13; 14	
RQ5	Leadership and Commitment	ISMS Requirements	2	Show me the current information security policy with executive approval signature.	Policy approval verification. Look for: executive signature from CEO or Board; approval date within 12 months; version control; organisation-specific content and not generic template.	Is the signature recent? Is policy organisation-specific?	POLICY; RECORD	Document	Executive-signed policy dated within 12 months and clear version control and organisation-specific content throughout and aligned with business objectives and regulatory requirements addressed and communication plan documented	Unsigned or undated policy; Approval over 12 months old; Generic template content; No version control; Policy not aligned with business	Information security policy lacks current executive approval or contains generic template content.	Critical	Auditor	5.1; RQ6; RQ7	13; 14	
RQ5	Leadership and Commitment	ISMS Requirements	3	Present your RACI matrix defining security roles and responsibilities and authorities.	Accountability mapping review. Look for: named individuals and not just roles; clear accountability for ISMS conformance; designated role for reporting ISMS performance to top management; control owners; incident response authorities. Matrix must align with organisation chart.	Are responsibilities clear? No gaps or overlaps?	MATRIX; RECORD	Document	RACI with named individuals and all security functions covered and clear single accountability per function and designated ISMS conformance owner and designated ISMS performance reporter to top management and alignment with organisation chart and no orphan responsibilities and regular review evidence and authority levels documented	Roles without names; Gaps in coverage; Multiple accountabilities; Misalignment with org chart; No review evidence; Unclear authorities	RACI matrix incomplete or has gaps in accountability or does not align with actual organisational structure.	High	Auditor	5.2; 5.3; 5.4	13; 14	
RQ5	Leadership and Commitment	ISMS Requirements	4	Provide evidence of security budget allocation and resource decisions.	Resource commitment verification. Look for: budget documents; headcount approvals; tool procurement records; meeting minutes showing resource discussions and decisions.	Is security resourced adequately?	RECORD; REPORT	Document	Documented security budget with year-on-year comparison and headcount approvals for security roles and tool and technology investments approved and meeting minutes showing resource discussions and variance explanations where needed	No documented budget; Security resources declining; Resource requests denied without alternative; No evidence of resource discussions	Security resources not demonstrably allocated or decisions not documented.	High	Auditor	RQ7; 5.1	13; 14	
